,resource,resource_type,direct_access,frequency,member_id,version,time_range,resolution,file_fullpath,file_basename,file_dirname
0,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,068,v1,19810101-19811231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19810101_19811231_068.nc4,conus_daily_eighth_19810101_19811231_068.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
1,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,091,v1,20130101-20131231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20130101_20131231_091.nc4,conus_daily_eighth_20130101_20131231_091.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
2,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,017,v1,20000101-20001231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20000101_20001231_017.nc4,conus_daily_eighth_20000101_20001231_017.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
3,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,071,v1,20060101-20061231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20060101_20061231_071.nc4,conus_daily_eighth_20060101_20061231_071.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
4,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,075,v1,20070101-20071231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20070101_20071231_075.nc4,conus_daily_eighth_20070101_20071231_075.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
5,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,037,v1,20070101-20071231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20070101_20071231_037.nc4,conus_daily_eighth_20070101_20071231_037.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
6,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,085,v1,19860101-19861231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19860101_19861231_085.nc4,conus_daily_eighth_19860101_19861231_085.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
7,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,035,v1,19900101-19901231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19900101_19901231_035.nc4,conus_daily_eighth_19900101_19901231_035.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
8,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,053,v1,19980101-19981231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19980101_19981231_053.nc4,conus_daily_eighth_19980101_19981231_053.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
9,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,074,v1,19920101-19921231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19920101_19921231_074.nc4,conus_daily_eighth_19920101_19921231_074.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
10,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,098,v1,19890101-19891231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19890101_19891231_098.nc4,conus_daily_eighth_19890101_19891231_098.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
11,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,069,v1,19890101-19891231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19890101_19891231_069.nc4,conus_daily_eighth_19890101_19891231_069.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
12,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,055,v1,20110101-20111231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20110101_20111231_055.nc4,conus_daily_eighth_20110101_20111231_055.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
13,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,043,v1,19840101-19841231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19840101_19841231_043.nc4,conus_daily_eighth_19840101_19841231_043.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
14,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,092,v1,20120101-20121231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20120101_20121231_092.nc4,conus_daily_eighth_20120101_20121231_092.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
15,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,047,v1,19950101-19951231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19950101_19951231_047.nc4,conus_daily_eighth_19950101_19951231_047.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
16,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,013,v1,20040101-20041231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20040101_20041231_013.nc4,conus_daily_eighth_20040101_20041231_013.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
17,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,095,v1,20130101-20131231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20130101_20131231_095.nc4,conus_daily_eighth_20130101_20131231_095.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
