,resource,resource_type,direct_access,frequency,member_id,version,time_range,resolution,file_fullpath,file_basename,file_dirname
18,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,036,v1,19890101-19891231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19890101_19891231_036.nc4,conus_daily_eighth_19890101_19891231_036.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
19,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,024,v1,19950101-19951231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19950101_19951231_024.nc4,conus_daily_eighth_19950101_19951231_024.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
20,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,008,v1,19830101-19831231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19830101_19831231_008.nc4,conus_daily_eighth_19830101_19831231_008.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
21,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,065,v1,19890101-19891231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19890101_19891231_065.nc4,conus_daily_eighth_19890101_19891231_065.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
22,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,068,v1,20040101-20041231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20040101_20041231_068.nc4,conus_daily_eighth_20040101_20041231_068.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
23,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,057,v1,20100101-20101231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20100101_20101231_057.nc4,conus_daily_eighth_20100101_20101231_057.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
24,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,088,v1,19840101-19841231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19840101_19841231_088.nc4,conus_daily_eighth_19840101_19841231_088.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
25,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,014,v1,20090101-20091231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20090101_20091231_014.nc4,conus_daily_eighth_20090101_20091231_014.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
26,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,098,v1,20090101-20091231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20090101_20091231_098.nc4,conus_daily_eighth_20090101_20091231_098.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
27,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,084,v1,20090101-20091231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20090101_20091231_084.nc4,conus_daily_eighth_20090101_20091231_084.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
28,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,020,v1,19880101-19881231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19880101_19881231_020.nc4,conus_daily_eighth_19880101_19881231_020.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
29,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,075,v1,20050101-20051231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20050101_20051231_075.nc4,conus_daily_eighth_20050101_20051231_075.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
30,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,079,v1,19870101-19871231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19870101_19871231_079.nc4,conus_daily_eighth_19870101_19871231_079.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
31,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,012,v1,19930101-19931231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19930101_19931231_012.nc4,conus_daily_eighth_19930101_19931231_012.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
32,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,093,v1,19860101-19861231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19860101_19861231_093.nc4,conus_daily_eighth_19860101_19861231_093.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
33,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,012,v1,20160101-20161231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20160101_20161231_012.nc4,conus_daily_eighth_20160101_20161231_012.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
34,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,016,v1,20160101-20161231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20160101_20161231_016.nc4,conus_daily_eighth_20160101_20161231_016.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
35,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,084,v1,20040101-20041231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20040101_20041231_084.nc4,conus_daily_eighth_20040101_20041231_084.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
36,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,082,v1,19910101-19911231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19910101_19911231_082.nc4,conus_daily_eighth_19910101_19911231_082.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
37,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,035,v1,19970101-19971231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19970101_19971231_035.nc4,conus_daily_eighth_19970101_19971231_035.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
38,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,009,v1,19900101-19901231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19900101_19901231_009.nc4,conus_daily_eighth_19900101_19901231_009.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
39,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,069,v1,19850101-19851231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19850101_19851231_069.nc4,conus_daily_eighth_19850101_19851231_069.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
40,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,067,v1,19810101-19811231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19810101_19811231_067.nc4,conus_daily_eighth_19810101_19811231_067.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
41,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,046,v1,19800101-19801231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19800101_19801231_046.nc4,conus_daily_eighth_19800101_19801231_046.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
42,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,076,v1,19860101-19861231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19860101_19861231_076.nc4,conus_daily_eighth_19860101_19861231_076.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
43,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,042,v1,20110101-20111231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20110101_20111231_042.nc4,conus_daily_eighth_20110101_20111231_042.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
44,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,068,v1,20130101-20131231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20130101_20131231_068.nc4,conus_daily_eighth_20130101_20131231_068.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
45,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,005,v1,19940101-19941231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19940101_19941231_005.nc4,conus_daily_eighth_19940101_19941231_005.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
46,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,097,v1,20060101-20061231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20060101_20061231_097.nc4,conus_daily_eighth_20060101_20061231_097.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
47,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,040,v1,20100101-20101231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20100101_20101231_040.nc4,conus_daily_eighth_20100101_20101231_040.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
48,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,073,v1,19970101-19971231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19970101_19971231_073.nc4,conus_daily_eighth_19970101_19971231_073.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
49,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,089,v1,19870101-19871231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19870101_19871231_089.nc4,conus_daily_eighth_19870101_19871231_089.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
50,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,037,v1,19920101-19921231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19920101_19921231_037.nc4,conus_daily_eighth_19920101_19921231_037.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
51,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,044,v1,19860101-19861231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19860101_19861231_044.nc4,conus_daily_eighth_19860101_19861231_044.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
52,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,068,v1,20150101-20151231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20150101_20151231_068.nc4,conus_daily_eighth_20150101_20151231_068.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
53,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,001,v1,19990101-19991231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19990101_19991231_001.nc4,conus_daily_eighth_19990101_19991231_001.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
54,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,070,v1,20010101-20011231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20010101_20011231_070.nc4,conus_daily_eighth_20010101_20011231_070.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
55,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,073,v1,19830101-19831231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19830101_19831231_073.nc4,conus_daily_eighth_19830101_19831231_073.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
56,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,033,v1,20040101-20041231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20040101_20041231_033.nc4,conus_daily_eighth_20040101_20041231_033.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
57,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,020,v1,19890101-19891231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19890101_19891231_020.nc4,conus_daily_eighth_19890101_19891231_020.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
58,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,065,v1,20030101-20031231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20030101_20031231_065.nc4,conus_daily_eighth_20030101_20031231_065.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
59,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,049,v1,20080101-20081231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20080101_20081231_049.nc4,conus_daily_eighth_20080101_20081231_049.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
60,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,077,v1,19910101-19911231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19910101_19911231_077.nc4,conus_daily_eighth_19910101_19911231_077.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
61,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,078,v1,19890101-19891231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19890101_19891231_078.nc4,conus_daily_eighth_19890101_19891231_078.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
62,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,090,v1,19810101-19811231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19810101_19811231_090.nc4,conus_daily_eighth_19810101_19811231_090.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
63,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,063,v1,20050101-20051231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20050101_20051231_063.nc4,conus_daily_eighth_20050101_20051231_063.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
64,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,033,v1,20080101-20081231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20080101_20081231_033.nc4,conus_daily_eighth_20080101_20081231_033.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
65,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,018,v1,19880101-19881231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19880101_19881231_018.nc4,conus_daily_eighth_19880101_19881231_018.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
66,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,097,v1,19810101-19811231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19810101_19811231_097.nc4,conus_daily_eighth_19810101_19811231_097.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
67,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,074,v1,19990101-19991231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_19990101_19991231_074.nc4,conus_daily_eighth_19990101_19991231_074.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
68,v1_landmask:GMET_V1:posix:/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/,posix,True,daily,028,v1,20080101-20081231,eighth,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/conus_daily_eighth_20080101_20081231_028.nc4,conus_daily_eighth_20080101_20081231_028.nc4,/glade/p/ral/hap/anewman/conus_v1p2/eighth/v1_landmask/
